Headlines,Emily_Class,Roh_Class,Osman_Class
A Break in the Search for the Origin of Complex Life,0,0,0
A Brief History of the Senate Rule That Silenced Elizabeth Warren,0,0,0
A man for Four Seasons: my goodbye to New Yorks modernist cathedral,1,0,0
A Marriage Crumbles in the Gripping Iranian Drama The Salesman,1,0,1
A NASA Engineer Was Required to Unlock his Phone at the Border,1,0,1
A New Tool in a Century-Old Fight for Voting Rights,0,0,0
A Pledge for More of the Same at the Pentagon,1,1,1
"A postcard from Durham, keeping it dirty in North Carolina",1,1,1
A powerful moment: first US-to-Cuba flight since 1961 is latest step in thaw,1,0,0
A quest for tribes: the worlds indigenous peoples in pictures,0,0,0
A Rare Serious Article This Morning to go with the Other Serious One,1,1,1
A Stand Against Invasive Phone Searches at the U.S. Border,0,1,0
A Strike to Show What America Is Like Without Immigrant Workers,0,1,0
A Striking Number of College Students Are Hungry and Homeless,0,0,0
"Abortion demand soars in countries hit by Zika outbreak, study finds",0,0,0
Absolutely Heartbreaking: The Editor Of Snopes Just Listed His Marriage Of 28 Years As A Hoax,0,1,1
"Afghanistan funds abusive militias as US military ignores situation, officials say",0,0,0
"After a Good Jobs Report, Trump Now Believes Economic Data",1,1,1
"After Obama Victory, Shrieking White-Hot Sphere Of Pure Rage Early GOP Front-Runner For 2016",0,1,0
"After Orlando terror, time for Mexican fans to dump puto once and for all",1,0,1
Against all odds: why Phil Collins comeback could save pop music,0,0,1
Ageist and body-shaming Trump statue falls short as art and satire,1,1,1
Aging Mother Knows Any Wrong Move Could Be Taken For Telltale Sign Of Dementia,1,1,1
Aha! Shouts Devin Nunes Pulling Back Shower Curtain In Hopes Of Revealing Hidden FBI Agent,1,1,1
Airbnb faces worldwide opposition. It plans a movement to rise up in its defence,0,0,0
Alabama denies parole for ex-Klansman in 1963 Birmingham church bombing,0,0,0
Alarming Study Finds 60% Of Americans Dont Know Where Their Next Value Meal Going To Come From,0,1,1
Albert Woodfox: I choose to use my anger as a means for changing things,0,0,1
"Aleppo, Ukraine, cyber attacks, Baltic threats: what should we do about Putin?",0,0,0
Alien world to help out Syria since this one refuses to [2012],1,1,1
"Alton Sterlings son: Everyone needs to protest the right way, with peace",1,0,0
Amazing New Hyperbolic Chamber Greatest Invention In The History Of Mankind Ever,1,1,0
Amazon Completes New Suspension Tank To House Psychic Beings Who Foresee Customers' Future Orders,1,1,1
America under Trump must not overlook the importance of women in battling HIV,0,0,0
